2022-06-30 00:06:733 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 00:06:722 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (3e61fbdc237afb9ac19ec82810e7d055)] -> xpath: //button[@id='ccc-notify-accept']]
2022-06-30 00:06:836 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (3e61fbdc237afb9ac19ec82810e7d055)] -> xpath: //a[contains(text(),'Login')]]
2022-06-30 00:06:992 INFO  LoginPage :54 - Send username to usernameField : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='login_inp']'
2022-06-30 00:06:240 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (3e61fbdc237afb9ac19ec82810e7d055)] -> xpath: //input[@type='password']]
2022-06-30 00:06:338 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (3e61fbdc237afb9ac19ec82810e7d055)] -> xpath: //button[contains(text(),'Login')]]
2022-06-30 00:06:897 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (3e61fbdc237afb9ac19ec82810e7d055)] -> xpath: //div[@id='error']]
2022-06-30 00:06:522 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 00:06:250 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (92c8014e48b4c4a5619e20b4ff778ea6)] -> xpath: //button[@id='ccc-notify-accept']]
2022-06-30 00:06:356 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (92c8014e48b4c4a5619e20b4ff778ea6)] -> xpath: //a[contains(text(),'Login')]]
2022-06-30 00:06:808 INFO  LoginPage :61 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (92c8014e48b4c4a5619e20b4ff778ea6)] -> xpath: //input[@id='login_inp']]
2022-06-30 00:06:860 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (92c8014e48b4c4a5619e20b4ff778ea6)] -> xpath: //input[@type='password']]
2022-06-30 00:06:911 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (92c8014e48b4c4a5619e20b4ff778ea6)] -> xpath: //button[contains(text(),'Login')]]
2022-06-30 00:06:333 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (92c8014e48b4c4a5619e20b4ff778ea6)] -> xpath: //div[@id='error']]
2022-06-30 00:06:807 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 00:06:673 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (6350e85656969d6116c606467ff573c8)] -> xpath: //button[@id='ccc-notify-accept']]
2022-06-30 00:06:768 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (6350e85656969d6116c606467ff573c8)] -> xpath: //a[contains(text(),'Login')]]
2022-06-30 00:06:193 INFO  LoginPage :61 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (6350e85656969d6116c606467ff573c8)] -> xpath: //input[@id='login_inp']]
2022-06-30 00:06:258 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (6350e85656969d6116c606467ff573c8)] -> xpath: //input[@type='password']]
2022-06-30 00:06:317 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (6350e85656969d6116c606467ff573c8)] -> xpath: //button[contains(text(),'Login')]]
2022-06-30 00:06:748 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (6350e85656969d6116c606467ff573c8)] -> xpath: //div[@id='error']]
2022-06-30 00:06:556 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 00:06:480 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (bb173941c061ab6eb96a702efde2ff62)] -> xpath: //button[@id='ccc-notify-accept']]
2022-06-30 00:06:545 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (bb173941c061ab6eb96a702efde2ff62)] -> xpath: //a[contains(text(),'Login')]]
2022-06-30 00:06:40 INFO  LoginPage :61 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (bb173941c061ab6eb96a702efde2ff62)] -> xpath: //input[@id='login_inp']]
2022-06-30 00:06:95 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (bb173941c061ab6eb96a702efde2ff62)] -> xpath: //input[@type='password']]
2022-06-30 00:06:143 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (bb173941c061ab6eb96a702efde2ff62)] -> xpath: //button[contains(text(),'Login')]]
2022-06-30 00:06:640 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (bb173941c061ab6eb96a702efde2ff62)] -> xpath: //div[@id='error']]
2022-06-30 00:06:594 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 00:06:262 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (f3e3f26cb8ec9c07b998c4a935829933)] -> xpath: //button[@id='ccc-notify-accept']]
2022-06-30 00:06:343 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (f3e3f26cb8ec9c07b998c4a935829933)] -> xpath: //a[contains(text(),'Login')]]
2022-06-30 00:06:821 INFO  LoginPage :61 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (f3e3f26cb8ec9c07b998c4a935829933)] -> xpath: //input[@id='login_inp']]
2022-06-30 00:06:873 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (f3e3f26cb8ec9c07b998c4a935829933)] -> xpath: //input[@type='password']]
2022-06-30 00:06:928 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (f3e3f26cb8ec9c07b998c4a935829933)] -> xpath: //button[contains(text(),'Login')]]
2022-06-30 00:06:339 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (f3e3f26cb8ec9c07b998c4a935829933)] -> xpath: //div[@id='error']]
2022-06-30 12:06:201 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 12:06:983 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (0e8b91aa9ee6396d6f058c122737b3e0)] -> xpath: //button[@id='ccc-notify-accept']]
2022-06-30 12:06:52 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (0e8b91aa9ee6396d6f058c122737b3e0)] -> xpath: //a[contains(text(),'Login')]]
2022-06-30 12:06:507 INFO  LoginPage :61 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (0e8b91aa9ee6396d6f058c122737b3e0)] -> xpath: //input[@id='login_inp']]
2022-06-30 12:06:574 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (0e8b91aa9ee6396d6f058c122737b3e0)] -> xpath: //input[@type='password']]
2022-06-30 12:06:641 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (0e8b91aa9ee6396d6f058c122737b3e0)] -> xpath: //button[contains(text(),'Login')]]
2022-06-30 12:06:42 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (0e8b91aa9ee6396d6f058c122737b3e0)] -> xpath: //div[@id='error']]
2022-06-30 13:06:63 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 13:06:72 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (4597ac0fbf28dcdae5d7946180df72bf)] -> xpath: //button[@id='ccc-notify-accept']]
2022-06-30 13:06:185 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (4597ac0fbf28dcdae5d7946180df72bf)] -> xpath: //a[contains(text(),'Login')]]
2022-06-30 13:06:573 INFO  LoginPage :61 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (4597ac0fbf28dcdae5d7946180df72bf)] -> xpath: //input[@id='login_inp']]
2022-06-30 13:06:632 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (4597ac0fbf28dcdae5d7946180df72bf)] -> xpath: //input[@type='password']]
2022-06-30 13:06:683 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (4597ac0fbf28dcdae5d7946180df72bf)] -> xpath: //button[contains(text(),'Login')]]
2022-06-30 13:06:84 INFO  LoginPage :39 - Get Error Text : [[ChromeDriver: chrome on WINDOWS (4597ac0fbf28dcdae5d7946180df72bf)] -> xpath: //div[@id='error']]
2022-06-30 13:06:158 INFO  ManageDriver :33 - Launching Chrome Browser
2022-06-30 13:06:893 INFO  HomePage :32 - Click on Accept cookies : [[ChromeDriver: chrome on WINDOWS (293346b11fb2ededad191ac8f1d47e1b)] -> xpath: //button[@id='ccc-notify-accept']]
2022-06-30 13:06:976 INFO  HomePage :27 - Click on Login link : [[ChromeDriver: chrome on WINDOWS (293346b11fb2ededad191ac8f1d47e1b)] -> xpath: //a[contains(text(),'Login')]]
2022-06-30 13:06:488 INFO  LoginPage :61 - Send username to usernameField : [[ChromeDriver: chrome on WINDOWS (293346b11fb2ededad191ac8f1d47e1b)] -> xpath: //input[@id='login_inp']]
2022-06-30 13:06:562 INFO  LoginPage :49 - Send password to passwordField : [[ChromeDriver: chrome on WINDOWS (293346b11fb2ededad191ac8f1d47e1b)] -> xpath: //input[@type='password']]
2022-06-30 13:06:629 INFO  LoginPage :44 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (293346b11fb2ededad191ac8f1d47e1b)] -> xpath: //button[contains(text(),'Login')]]
